Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,AdoptionSpeed
0,5,2,1,1,1,2,2,2,2,0,41401,1
2,307,1,2,1,1,2,2,2,2,0,41401,4
2,307,2,2,1,1,2,2,2,2,0,41401,4
48,20,1,1,2,1,2,2,2,2,200,41326,1
2,307,1,1,2,1,2,2,2,2,0,41326,3
24,307,1,1,2,1,2,2,2,2,0,41326,4
36,307,1,1,2,1,2,2,2,2,0,41326,3
2,307,2,1,2,1,2,2,2,2,0,41336,4
3,307,2,1,2,1,2,2,2,2,0,41326,3
3,307,2,2,2,1,2,2,2,2,100,41326,4
6,307,2,2,2,1,2,2,2,2,0,41401,4
8,307,2,2,2,1,2,2,2,2,0,41324,4
4,307,1,4,2,1,2,2,2,2,30,41326,4
3,307,2,4,2,1,2,2,2,2,0,41332,1
6,307,2,1,3,1,2,2,2,2,0,41326,4
42,307,1,2,3,1,2,2,2,2,0,41327,4
2,307,1,1,1,2,2,2,2,2,0,41326,3
4,103,2,1,1,2,2,2,2,2,30,41401,4
1,307,1,2,1,2,2,2,2,2,0,41326,2
2,307,1,2,1,2,2,2,2,2,0,41326,1
1,307,1,1,2,2,2,2,2,2,0,41327,2
4,307,1,1,2,2,2,2,2,2,0,41401,4
2,307,2,1,2,2,2,2,2,2,150,41326,4
2,307,1,2,2,2,2,2,2,2,0,41326,3
36,307,1,2,2,2,2,2,2,2,1,41326,4
1,307,2,2,2,2,2,2,2,2,50,41326,1
2,307,2,3,2,2,2,2,2,2,0,41336,2
12,307,2,3,2,2,2,2,2,2,0,41401,4
48,109,1,3,3,2,2,2,2,2,0,41336,1
1,307,2,1,2,3,2,2,2,2,0,41326,2
1,307,2,2,2,3,2,2,2,2,20,41327,2
24,75,1,1,1,1,2,2,2,1,20,41327,1
21,182,1,1,1,1,2,2,2,1,500,41326,3
1,206,1,1,1,1,2,2,2,1,0,41326,1
1,307,1,1,1,1,2,2,2,1,0,41326,1
1,307,1,1,1,1,2,2,2,1,0,41326,2
1,307,1,1,1,1,2,2,2,1,0,41401,2
1,307,1,1,1,1,2,2,2,1,0,41326,1
2,307,1,1,1,1,2,2,2,1,150,41326,1
2,307,1,1,1,1,2,2,2,1,0,41326,3
2,307,1,1,1,1,2,2,2,1,0,41330,2
2,307,1,1,1,1,2,2,2,1,0,41401,4
2,307,1,1,1,1,2,2,2,1,0,41401,1
2,307,1,1,1,1,2,2,2,1,0,41401,4
4,307,1,1,1,1,2,2,2,1,0,41401,1
4,307,1,1,1,1,2,2,2,1,200,41326,4
4,307,1,1,1,1,2,2,2,1,0,41336,3
7,307,1,1,1,1,2,2,2,1,50,41326,4
8,76,2,1,1,1,2,2,2,1,0,41401,4
6,102,2,1,1,1,2,2,2,1,0,41401,3
3,152,2,1,1,1,2,2,2,1,100,41326,1
0,307,2,1,1,1,2,2,2,1,0,41326,1
1,307,2,1,1,1,2,2,2,1,0,41326,4
1,307,2,1,1,1,2,2,2,1,0,41401,2
1,307,2,1,1,1,2,2,2,1,0,41401,2
1,307,2,1,1,1,2,2,2,1,0,41326,2
1,307,2,1,1,1,2,2,2,1,0,41326,2
1,307,2,1,1,1,2,2,2,1,0,41326,4
1,307,2,1,1,1,2,2,2,1,0,41326,2
2,307,2,1,1,1,2,2,2,1,0,41326,3
2,307,2,1,1,1,2,2,2,1,0,41326,2
2,307,2,1,1,1,2,2,2,1,0,41326,1
2,307,2,1,1,1,2,2,2,1,0,41326,4
2,307,2,1,1,1,2,2,2,1,0,41326,4
2,307,2,1,1,1,2,2,2,1,0,41401,2
2,307,2,1,1,1,2,2,2,1,0,41326,4
3,307,2,1,1,1,2,2,2,1,0,41326,3
3,307,2,1,1,1,2,2,2,1,0,41401,3
4,307,2,1,1,1,2,2,2,1,0,41330,2
5,307,2,1,1,1,2,2,2,1,0,41326,4
12,307,2,1,1,1,2,2,2,1,0,41401,4
12,307,2,1,1,1,2,2,2,1,0,41326,1
5,20,1,2,1,1,2,2,2,1,0,41326,1
48,128,1,2,1,1,2,2,2,1,0,41326,1
1,307,1,2,1,1,2,2,2,1,0,41326,3
1,307,1,2,1,1,2,2,2,1,0,41326,3
1,307,1,2,1,1,2,2,2,1,0,41401,3
1,307,1,2,1,1,2,2,2,1,0,41326,2
2,307,1,2,1,1,2,2,2,1,0,41401,2
2,307,1,2,1,1,2,2,2,1,0,41401,1
2,307,1,2,1,1,2,2,2,1,0,41326,4
3,307,1,2,1,1,2,2,2,1,0,41326,2
3,307,1,2,1,1,2,2,2,1,0,41401,1
2,0,2,2,1,1,2,2,2,1,1,41336,3
6,60,2,2,1,1,2,2,2,1,0,41401,3
3,69,2,2,1,1,2,2,2,1,0,41330,1
18,75,2,2,1,1,2,2,2,1,20,41327,3
2,179,2,2,1,1,2,2,2,1,500,41326,1
1,307,2,2,1,1,2,2,2,1,0,41326,4
1,307,2,2,1,1,2,2,2,1,0,41401,4
1,307,2,2,1,1,2,2,2,1,0,41326,1
1,307,2,2,1,1,2,2,2,1,0,41326,2
1,307,2,2,1,1,2,2,2,1,0,41326,1
1,307,2,2,1,1,2,2,2,1,0,41326,2
2,307,2,2,1,1,2,2,2,1,0,41332,2
2,307,2,2,1,1,2,2,2,1,0,41326,4
2,307,2,2,1,1,2,2,2,1,0,41327,4
2,307,2,2,1,1,2,2,2,1,150,41401,1
2,307,2,2,1,1,2,2,2,1,0,41401,4
3,307,2,2,1,1,2,2,2,1,0,41326,0
4,307,2,2,1,1,2,2,2,1,0,41326,3
4,307,2,2,1,1,2,2,2,1,0,41326,4
4,307,2,2,1,1,2,2,2,1,20,41327,4
5,307,2,2,1,1,2,2,2,1,0,41401,4
7,307,2,2,1,1,2,2,2,1,0,41326,4
24,307,2,2,1,1,2,2,2,1,0,41401,4
1,307,1,3,1,1,2,2,2,1,0,41326,4
5,307,1,4,1,1,2,2,2,1,0,41330,4
3,307,2,4,1,1,2,2,2,1,0,41330,4
4,152,1,5,1,1,2,2,2,1,0,41326,2
1,152,2,5,1,1,2,2,2,1,20,41327,3
72,179,2,5,1,1,2,2,2,1,200,41326,3
1,307,2,5,1,1,2,2,2,1,0,41326,2
1,307,2,5,1,1,2,2,2,1,0,41326,2
1,307,2,5,1,1,2,2,2,1,0,41326,3
2,307,2,5,1,1,2,2,2,1,0,41332,4
4,307,2,5,1,1,2,2,2,1,0,41326,4
1,307,2,7,1,1,2,2,2,1,0,41326,4
